#2024-03-19 14:14
#Ultrasound      Ruler           Pixel          
10.000          10.4            1870.198       
15.000          15.1            1788.006       
20.000          20.3            1693.594       
#25.000          -1.0            1088.537       
30.000          30.4            1498.141       
35.000          35.6            1392.000       
40.000          41.0            1292.233       
45.000          46.1            1188.764       
50.000          51.3            1089.785       
55.000          55.8            988.341        
60.000          61.5            890.881        
65.000          66.5            790.829        
70.000          71.4            689.215        
75.000          76.7            582.911        
80.000          82.1            472.540        
85.000          87.1            369.553        
90.000          91.6            277.293        
95.000          96.5            176.700        
100.000         101.9           63.627         


       
#2024-03-19 16:09
#Ultrasound      Ruler           Pixel          
97.000          99.3            116.066        
92.000          94.3            221.102        
87.000          89.4            322.413        
82.000          84.0            430.139        
77.000          79.1            530.621        
72.000          74.2            634.348        
67.000          69.2            734.263        
#62.000          -1.0            455.543        
#57.000          -1.0            478.001        
#52.000          -1.0            499.257        
47.000          48.3            1153.173       
42.000          43.2            1242.533       


        
#2024-03-19 17:09
#Ultrasound      Ruler           Pixel          
37.000          37.3            1359.489       
32.000          32.8            1448.726       
27.000          27.8            1543.114       
22.000          22.5            1642.621       
17.000          17.9            1738.164       



#2024-03-19 17:29
#Ultrasound      Ruler           Pixel          
12.000          12.8            1836.217       
25.000          25.5            1590.385       
52.000          53.2            1052.772       
57.000          58.4            949.791        
62.000          63.4            846.673        


