#2024-03-13 11:50
#Ultrasound     Ruler           Pixel          
10.000          10.8            1686.498       
11.000          10.8            1686.698       
12.000          12.4            1650.613       
13.000          13.5            1628.199       
14.000          14.3            1603.827       
15.000          15.6            1580.706       
16.000          16.8            1550.385       
17.000          16.8            1550.326       
18.000          18.4            1487.206       
19.000          19.5            1464.389       
20.000          20.4            1444.092       
21.000          21.3            1413.655       
22.000          21.9            1413.881       
23.000          23.7            1373.126       
24.000          24.9            1341.377       
25.000          25.7            1320.642       
26.000          26.8            1291.352       
27.000          27.5            1269.435       
28.000          28.6            1242.215       
29.000          29.6            1198.354       
30.000          30.8            1169.940       
31.000          31.6            1146.720       
32.000          32.9            1118.921       
33.000          32.9            1117.456       
34.000          34.9            1060.984       
35.000          35.7            1041.067       
36.000          36.9            1000.400       
37.000          38.2            965.362        
38.000          38.9            947.957        
39.000          40.0            914.752        
40.000          40.0            915.571        
41.000          41.8            865.737        
42.000          43.1            833.211        
43.000          44.2            804.585        
44.000          45.3            772.223        
45.000          46.1            745.270        
46.000          47.2            710.014        
47.000          48.2            682.352        
48.000          48.9            657.748        
49.000          50.2            623.880        
50.000          51.1            592.353        
51.000          52.0            563.610        
52.000          53.1            533.229        
53.000          54.2            501.586        
54.000          55.4            468.232        
55.000          56.2            443.158        
56.000          57.3            406.578        
57.000          58.3            379.172        
58.000          59.3            347.114        
59.000          60.2            312.604        
60.000          61.2            283.544        
61.000          62.3            251.534        
62.000          63.2            221.251        
63.000          64.3            192.846        
64.000          65.3            151.532        
65.000          66.3            123.813        
66.000          67.3            95.437         
67.000          68.4            59.602         
68.000          69.3            29.148         
